2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02
58.5,59.5,60.4,60.5,60.2,59.8,59.3,60.1,59.9,58.7,57.7,57.7,58.9,60,60.8,60.7,60.6,59.9,60.2,60.3,59.9,58.6,57.7,57.5,58.7,60,60.6,60.8,60.7,60.2,60.6,60.8,60.7,59.4,58.8,58.9,59.7,60.9,61.1,61.2,61.4,61.1,61.1,61.1,61.1,59.7,59,59.1,59.8,60.6,61.2,61.2,61.3,60.9,61.1,61.2,61,60.1,59,58.9,59.7,60.5,61.1,61.3,61.3,61.2,61.1,61.2,61.2,60.2,59.1,59.3,60.3,61,61.5,61.5,61.6,61.2,61.4,61.4,61.4,60.4,59.5,59.2,60.2,60.9,61.3,61.4,61.3,60.9,61.2,61.2,61.4,60.1,59.2,59.4,60.4,60.8,61.5,61.6,61.5,61.4,61.5,61.7,61.7,60.8,60,60,59.5,59.4,60.2,60.4,60.5,60.4,60.3,60.4,60.7,59.1,57.4,58.6
3.74,3.74,3.66,3.65,3.77,3.57,3.45,3.47,3.39,3.36,3.37,3.43,3.55,3.5,3.38,3.29,3.01,2.83,2.81,2.78,2.8,2.85,2.75,2.7,2.6,2.55,2.59,2.87,2.91,2.94,2.9,2.83,2.94,2.94,2.89,2.85,2.87,2.88,2.84,2.75,2.56,2.54,2.41,2.24,2.14,2.14,2.04,2.02,1.87,1.74,1.88,1.77,1.78,1.74,1.65,1.63,1.75,1.72,1.63,1.47,1.5,1.47,1.46,1.33,1.22,1.24,1.31,1.36,1.61,1.69,1.64,1.67,1.71,1.68,1.69,1.67,1.74,1.78,1.79,2.03,2.15,2.1,2.19,2.28,2.27,2.19,2.25,2.18,2.1,2.02,1.95,2.01,1.94,1.83,1.81,1.8,1.79,1.74,1.68,1.5,1.38,1.16,1.29,1.36,1.49,1.39,1.37,1.25,1.09,1.02,0.88,0.85,0.83,0.83,0.91,0.91,0.97,0.97,0.98,1
